OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
233,127910,2,Van Nuys NC,6,Van Nuys NC,3,127910,2019,19.917,0,19.917,79.391718,0,79.391718,No,6993711.71875,10579.8815587472
234,127920,2,Van Nuys NC,2,Van Nuys NC,3,127920,2019,15.936,0,15.936,63.628398,0,63.628398,No,6982915.35644531,10569.8325679897
235,128101,2,Greater Valley Glen NC,2,Greater Valley Glen NC,3,128101,2019,4.315,0,4.315,17.22387,0,17.22387,No,6984289.80859375,10570.8324541951
236,128102,2,Van Nuys NC,2,Van Nuys NC,3,128102,2019,37.791,0,37.791,150.867667,0,150.867667,No,6983590.65332031,10571.0823958411
237,128210,2,Van Nuys NC,6,Van Nuys NC,3,128210,2019,52.977,0,52.977,249.508322,0,249.508322,No,5919324.13085938,9764.336765569
238,128220,2,Greater Valley Glen NC,2,Greater Valley Glen NC,3,128220,2019,12.117,0,12.117,56.489667,0,56.489667,No,5980050.56640625,10040.1847100561
239,128302,2,Van Nuys NC,6,Van Nuys NC,3,128302,2019,26.752,0,26.752,100.586544,0,100.586544,No,7414380.75488281,12437.4225614817
240,128303,2,Van Nuys NC,6,Van Nuys NC,3,128303,2019,9.196,0,9.196,57.541691,0,57.541691,No,4455405.32324219,9765.75599013314
241,128400,2,Van Nuys NC,4,Van Nuys NC,3,128400,2019,107.28,0,107.28,160.999426,0,160.999426,No,18576244.2724609,22571.5466758099
242,128500,2,Sherman Oaks NC,4,Sherman Oaks NC,3,128500,2019,17.172,0,17.172,45.674666,0,45.674666,No,10481590.1865234,13224.3572694201
243,128601,2,Van Nuys NC,4,Van Nuys NC,3,128601,2019,94.222,0,94.222,357.901721,0,357.901721,No,7339326.99609375,13840.3442687975
244,128602,2,Sherman Oaks NC,4,Sherman Oaks NC,3,128602,2019,6.696,0,6.696,15.289527,0,15.289527,No,12208858.1582031,14527.1051204512
245,128702,2,Sherman Oaks NC,4,Sherman Oaks NC,3,128702,2019,8.774,0,8.774,13.683161,0,13.683161,No,17876643.4970703,17024.4198716906
246,128801,2,Sherman Oaks NC,4,Sherman Oaks NC,3,128801,2019,3.218,0,3.218,16.936956,0,16.936956,No,5296947.18945313,9461.36033343658
247,128802,2,Sherman Oaks NC,4,Sherman Oaks NC,3,128802,2019,0,0,0,0,0,0,No,10452390.7294922,13223.9954357636
248,128910,2,Sherman Oaks NC,4,Sherman Oaks NC,3,128910,2019,10.132,0,10.132,19.632754,0,19.632754,No,14387056.3925781,17389.1812320484
249,131010,2,Reseda NC,12,Reseda NC,3,131010,2019,1.425,0,1.425,3.460223,0,3.460223,No,11480926.5390625,14570.6584347654
250,131020,2,Reseda NC,3,Reseda NC,3,131020,2019,15.317,0,15.317,27.456386,0,27.456386,No,15552234.2617188,17611.1710387801
251,131100,2,Lake Balboa NC,6,Lake Balboa NC,3,131100,2019,0,0,0,0,0,0,No,11859443.6728516,14177.7126288331
252,131200,2,Northridge South NC,12,Northridge South NC,3,131200,2019,0,0,0,0,0,0,No,12144821.0351563,14481.036009778
253,131300,2,Reseda NC,12,Reseda NC,3,131300,2019,6.425,0,6.425,14.885188,0,14.885188,No,12033774.2626953,14396.8111475083
254,131400,2,Reseda NC,12,Reseda NC,3,131400,2019,10.372,0,10.372,24.265374,0,24.265374,No,11916509.4941406,14307.3214718384
255,131600,2,Reseda NC,3,Reseda NC,3,131600,2019,7.508,0,7.508,8.876262,0,8.876262,No,23580655.9443359,19437.1948803155
256,131701,2,Reseda NC,3,Reseda NC,3,131701,2019,0,0,0,0,0,0,No,7100221.15625,10658.5888520031
257,131702,2,Reseda NC,3,Reseda NC,3,131702,2019,1.694,0,1.694,6.076571,0,6.076571,No,7771819.15429688,11185.7029133008
258,131800,2,Reseda NC,3,Reseda NC,3,131800,2019,9.794,0,9.794,19.282675,0,19.282675,No,14159276.6396484,15914.9720150401
259,131900,2,Lake Balboa NC,6,Lake Balboa NC,3,131900,2019,0,0,0,0,0,0,No,14188643.3398438,15934.2411199099
260,132001,2,Lake Balboa NC,6,Lake Balboa NC,3,132001,2019,0,0,0,0,0,0,No,10425460.1572266,13176.3774861262
261,132002,2,Lake Balboa NC,6,Lake Balboa NC,3,132002,2019,1.425,0,1.425,2.306542,0,2.306542,No,17223531.765625,21046.1683920319
262,132101,2,Lake Balboa NC,6,Lake Balboa NC,3,132101,2019,3.694,0,3.694,11.804729,0,11.804729,No,8723984.00390625,11887.9744613143
263,132102,2,Lake Balboa NC,6,Lake Balboa NC,3,132102,2019,21.319,0,21.319,40.267145,0,40.267145,No,14760051.2998047,18876.0252894521
264,132300,2,Reseda NC,3,Reseda NC,3,132300,2019,12.742,0,12.742,25.812346,0,25.812346,No,13761778.5996094,15788.0955051603
265,132501,2,Reseda NC,3,Reseda NC,3,132501,2019,0,0,0,0,0,0,No,7575620.31445313,11038.5481454468
266,132502,2,Reseda NC,3,Reseda NC,3,132502,2019,13.572,0,13.572,56.2631,0,56.2631,No,6725120.53417969,10978.9584933665
267,132700,2,Reseda NC,3,Reseda NC,3,132700,2019,34.171,0,34.171,66.983821,0,66.983821,No,15600426.3876953,16599.6889941247
268,132900,2,Tarzana NC,5,Tarzana NC,3,132900,2019,23.548,0,23.548,51.078727,0,51.078727,No,11474806.2548828,16538.8272534914
269,133000,2,Reseda NC,3,Reseda NC,3,133000,2019,17.475,0,17.475,45.162066,0,45.162066,No,10786805.6259766,14157.5966623795
270,133100,2,Tarzana NC,3,Tarzana NC,3,133100,2019,13.05,0,13.05,22.237206,0,22.237206,No,16360136.4882813,16956.6027308326
271,134001,2,Winnetka NC,3,Winnetka NC,3,134001,2019,19.068,0,19.068,84.640016,0,84.640016,No,6281113.20703125,12140.7738448861
272,134002,2,Winnetka NC,3,Winnetka NC,3,134002,2019,13.696,0,13.696,47.077778,0,47.077778,No,8109569.25878906,13626.4268301655
273,134101,2,Winnetka NC,3,Winnetka NC,3,134101,2019,2.694,0,2.694,6.547237,0,6.547237,No,11471195.4404297,13966.0362736667
274,134103,2,Winnetka NC,3,Winnetka NC,3,134103,2019,1.576,0,1.576,3.885729,0,3.885729,No,11307014.9267578,17436.9643134644
275,134104,2,Winnetka NC,3,Winnetka NC,3,134104,2019,3.949,0,3.949,15.785298,0,15.785298,No,6974274.17382813,10562.4679561024
276,134201,2,Canoga Park NC,3,Canoga Park NC,3,134201,2019,19.8,0,19.8,34.96566,0,34.96566,No,15785956.8642578,16455.1014721705
277,134302,2,West Hills NC,12,West Hills NC,5,134302,2019,0,0,0,0,0,0,No,14065834.3544922,15260.7394969317
278,134303,2,Canoga Park NC,3,Canoga Park NC,3,134303,2019,10.607,0,10.607,17.497033,0,17.497033,No,16900825.5361328,17108.6904034636
279,134304,2,Canoga Park NC,3,Canoga Park NC,3,134304,2019,0,0,0,0,0,0,No,10983858.3867188,13572.1726487604
280,134305,2,Canoga Park NC,3,Canoga Park NC,3,134305,2019,5.816,0,5.816,42.128306,0,42.128306,No,3848908.18457031,8098.04632074036
