OBJECTID,ZIPCODE,Zip_code,PAdPhysAct,PAdPhysA_1,NAdPhysAct,Pop_18olde
126,91343,91343,0.349,34.9,16228.5,46500
127,91344,91344,0.35,35,15050,43000
128,91345,91345,0,0,0,0
129,91352,91352,0.359,35.9,13965.1,38900
130,91356,91356,0.369,36.9,9003.6,24400
131,91364,91364,0.376,37.6,7858.4,20900
132,91367,91367,0.365,36.5,12045,33000
133,91401,91401,0.35,35,11620,33200
134,91402,91402,0.357,35.7,18421.2,51600
135,91403,91403,0.388,38.8,6673.6,17200
136,91405,91405,0.354,35.4,12991.8,36700
137,91406,91406,0.352,35.2,15593.6,44300
138,91411,91411,0.36,36,7416,20600
139,91423,91423,0.376,37.6,9550.4,25400
140,91436,91436,0.399,39.9,6104.7,15300
141,91501,91501,0.338,33.8,6253,18500
142,91504,91504,0.35,35,7245,20700
143,91505,91505,0.36,36,9108,25300
144,91506,91506,0.348,34.8,5498.4,15800
145,91522,91522,0,0,0,0
146,91601,91601,0.368,36.8,11739.2,31900
147,91602,91602,0.379,37.9,6253.5,16500
148,91604,91604,0.402,40.2,9969.6,24800
149,91605,91605,0.353,35.3,14755.4,41800
150,91606,91606,0.35,35,12040,34400
151,91607,91607,0.366,36.6,9040.2,24700
152,91608,91608,0,0,0,0
153,91754,91754,0.331,33.1,8771.5,26500
154,91801,91801,0.325,32.5,13975,43000
155,91803,91803,0.323,32.3,7784.3,24100
