FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length,OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID,OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
16,103102,2,5,7,12.4,0,12.4,1821420.59375,6100.162912109499,13,106641,2,5,12,0.0,0,0.0,1164267.98925781,5609.194927562471,ec1211eb-66b9-4c7d-84d5-156c4e3c6025,12,103102,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,103102,2019,26.368000000000002,0,26.368000000000002,55.034046999999994,0.0,55.034046999999994,No,13357258.7099609,16531.0518392854
17,103200,2,5,7,55.271,0,55.271,10887869.9765625,19467.7977821276,14,106648,2,3,7,0.0,0,0.0,808821.702087402,3949.7037518898205,2eb5731f-1c49-48e9-9537-6011ee77c327,13,103200,2,Foothill Trails District NC,7,Foothill Trails District NC,5,103200,2019,32.609,0,32.609,11.388367,0.0,11.388367,No,79825425.5078125,52745.359368287594
18,103300,2,5,7,14.775,0,14.775,9013237.42578125,13780.646250713899,15,107020,2,3,7,5.492999999999999,0,5.492999999999999,999175.744018555,4438.36343452579,569734b7-2c76-48e5-bed1-bf6d8f232ecb,14,103300,2,Foothill Trails District NC,7,Foothill Trails District NC,5,103300,2019,5.412999999999999,0,5.412999999999999,2.282756,0.0,2.282756,No,66106459.9521484,37339.0066688219
19,103400,2,5,7,17.795,0,17.795,3669558.77734375,9221.54164939018,16,108202,2,5,12,0.0,0,0.0,6019244.08178711,11008.3734052155,3dd25cef-39c1-4ba0-8605-2d3a18897e30,15,103400,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,103400,2019,26.381999999999998,0,26.381999999999998,27.325628000000002,0.0,27.325628000000002,No,26915133.371093802,24999.0682777538
20,104103,2,3,7,33.106,0,33.106,1393607.99609375,4886.6842689387895,17,109601,2,3,7,22.46,0,22.46,2259707.5534668,6118.106909453671,92c4bbcd-05d5-427c-8592-7289a78f7364,16,104103,2,Foothill Trails District NC,7,Foothill Trails District NC,3,104103,2019,8.202,0,8.202,22.383975,0.0,22.383975,No,10237407.1181641,13287.8069328498
21,104105,2,3,7,6.781000000000001,8,14.780999999999999,858372.1640625,4298.3955365641705,18,111100,2,5,12,0.0,0,0.0,1053924.20996094,4133.46959275701,71798de2-28f3-45ed-8a73-47f9f0b94d8f,17,104105,2,Pacoima NC,7,Pacoima NC,3,104105,2019,4.8469999999999995,0,4.8469999999999995,21.473085,0.0,21.473085,No,6292659.17578125,11640.1575557179
22,104108,2,3,7,6.1160000000000005,0,6.1160000000000005,1609944.8828125,7002.32622622249,19,111302,2,5,12,1.831,0,1.831,1554403.85565186,5442.96986127661,cf34b85a-e7fc-4bde-929e-67e1dfd54ba8,18,104108,2,Pacoima NC,7,Pacoima NC,3,104108,2019,1.425,0,1.425,3.3656550000000003,0.0,3.3656550000000003,No,11803582.443359401,18965.5554564757
23,104124,2,3,7,0.0,0,0.0,6580440.21875,14632.9178320479,20,113212,2,5,12,11.985999999999999,0,11.985999999999999,1001912.94769287,4300.84203003155,0c6aa714-f90f-48e2-9ff5-2558727eb8bf,19,104124,2,Kagel Canyon,7,Kagel Canyon,3,104124,2019,11.812999999999999,6,17.813,6.828377000000001,3.468235,10.296612,Yes,48204147.6386719,39434.5879797644
24,104201,2,3,7,24.114,0,24.114,1600788.3828125,5470.88632124861,21,113233,2,5,3,9.493,0,9.493,1159492.64025879,5063.42120367171,a50905b7-979d-4769-a4fe-c965cbeab3d7,20,104201,2,Pacoima NC,7,Pacoima NC,3,104201,2019,6.082000000000001,0,6.082000000000001,14.451613,0.0,14.451613,No,11733391.0039063,14807.3007978377
25,104203,2,3,7,1.591,0,1.591,1039433.62109375,4082.24995239521,22,113301,2,5,12,1.831,0,1.831,2274110.91021729,6860.65646064655,89e9d144-243e-490d-be23-7476281028c1,21,104203,2,Pacoima NC,7,Pacoima NC,3,104203,2019,15.034,0,15.034,55.005343,0.0,55.005343,No,7619777.47363281,11052.788720980701
26,104204,2,3,7,16.569000000000003,0,16.569000000000003,3916346.4921875,11176.994948831101,23,113321,2,5,12,0.0,0,0.0,1048221.24584961,4165.10994476012,d6060f32-6c72-4749-a526-044722017c76,22,104204,2,Foothill Trails District NC,7,Foothill Trails District NC,3,104204,2019,26.17,0,26.17,25.418858,0.0,25.418858,Yes,27611409.7861328,30709.8065132456
