FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length,OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID,OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
286,134421,2,3,12,2.095,0,2.095,3128335.85546875,7127.516856912991,283,103101,2,5,7,7.559,0,7.559,2012129.35571289,7468.79574538356,f5f5e705-d6d8-4bf4-8c81-6233028be2c7,282,134421,2,West Hills NC,12,West Hills NC,3,134421,2019,0.0,0,0.0,0.0,0.0,0.0,No,22974663.649414103,19312.9950646605
287,134422,2,3,12,25.53,0,25.53,3438752.87890625,9451.45662377738,284,103102,2,5,7,3.0,0,3.0,1242352.5098877,5033.95265177189,880fd2ef-6bfb-4d77-950e-0088805e99b9,283,134422,2,West Hills NC,12,West Hills NC,3,134422,2019,2.694,0,2.694,2.97399,0.0,2.97399,No,25253523.5136719,25624.3690455711
288,134423,2,5,12,6.285,0,6.285,2297241.8046875,6797.67185542049,285,103200,2,5,7,34.16,0,34.16,7435165.25750732,15730.575752389099,04d516ea-f1c8-45d7-9af3-5f74fedc9354,284,134423,2,West Hills NC,12,West Hills NC,5,134423,2019,0.0,0,0.0,0.0,0.0,0.0,No,16866116.113281302,18426.1455704341
289,134424,2,5,12,1.591,0,1.591,5440105.0078125,10093.9656072164,286,103300,2,5,7,1.0,0,1.0,6126475.17785645,11171.9575631404,2abeffb5-2733-423e-84f7-adcf0a94d18e,285,134424,2,West Hills NC,12,West Hills NC,5,134424,2019,0.0,0,0.0,0.0,0.0,0.0,No,39964237.0449219,27348.263278669703
290,134520,2,3,3,36.351,0,36.351,1417378.3125,4854.533274292129,287,103400,2,5,7,7.337999999999999,0,7.337999999999999,2501181.71466064,7561.80451897225,bce9c103-806a-4277-8271-a5ba17442c2a,286,134520,2,Canoga Park NC,3,Canoga Park NC,3,134520,2019,42.81399999999999,0,42.81399999999999,114.651866,0.0,114.651866,No,10410131.0351563,13162.3539993478
291,134521,2,3,3,36.746,0,36.746,515605.54296875,3023.03502185075,288,104105,2,3,7,7.015,0,7.015,585814.280090332,3550.7091258887604,4b0d38c0-e453-4b5d-9aac-f60abd66adc4,287,134521,2,Canoga Park NC,3,Canoga Park NC,3,134521,2019,13.812999999999999,0,13.812999999999999,101.701289,0.0,101.701289,No,3785967.51464844,8186.93593795384
292,134522,2,3,3,2.095,0,2.095,901823.32421875,3792.2776682816498,289,104108,2,3,7,19.213,0,19.213,1100541.62475586,5675.64926573662,f5cd1833-6424-4330-a247-a581f13e2e6a,288,134522,2,Canoga Park NC,3,Canoga Park NC,3,134522,2019,2.0,0,2.0,8.419088,0.0,8.419088,No,6622631.55175781,10275.8243276595
293,134710,2,3,3,0.0,0,0.0,836342.44140625,3670.4827313523497,290,104124,2,3,7,16.967,0,16.967,4508321.40270996,11341.0824361573,4420507c-2aed-4c1e-8602-3be5717b62cb,289,134710,2,Winnetka NC,3,Winnetka NC,3,134710,2019,3.388,0,3.388,15.378548,0.0,15.378548,No,6141930.17773438,9945.59328248732
294,134720,2,3,3,6.285,0,6.285,1450310.02734375,4906.24224500949,291,104203,2,3,7,5.28,0,5.28,709043.532287598,3371.5532930488503,3e383284-1e2d-4b88-9207-7b7437d303cb,290,134720,2,Winnetka NC,3,Winnetka NC,3,134720,2019,12.652999999999999,0,12.652999999999999,33.119859999999996,0.0,33.119859999999996,No,10650629.3828125,13301.1074963098
295,134800,2,3,3,3.0,0,3.0,2746688.890625,6853.18579110177,292,104204,2,3,7,5.492999999999999,0,5.492999999999999,2655806.44177246,9133.024023523001,dbde9970-7f37-4fbd-8558-7ef66dc10a03,291,134800,2,Winnetka NC,3,Winnetka NC,3,134800,2019,14.597999999999999,0,14.597999999999999,20.172217,0.0,20.172217,No,20175045.0996094,18586.0923906742
296,134901,2,3,3,7.285,0,7.285,1555911.01953125,5597.43823268016,293,104310,2,3,7,49.575,0,49.575,1504196.21826172,5819.05482948345,0639c580-c93e-42ae-a40c-9962a937dcdd,292,134901,2,Tarzana NC,3,Tarzana NC,3,134901,2019,25.171,0,25.171,61.388909999999996,0.0,61.388909999999996,No,11430404.5195313,15182.228187038401
297,134903,2,3,3,18.276,0,18.276,829710.96484375,3867.50446508962,294,104401,2,3,7,18.3,0,18.3,686630.044555664,3790.1480556101396,575b53fa-ebc9-4b03-8a63-c5b8452b8a64,293,134903,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,134903,2019,4.218,0,4.218,19.293009,0.0,19.293009,No,6095012.24707031,10483.247103162801
298,134904,2,3,3,8.041,0,8.041,1523448.421875,5781.87382388424,295,104403,2,3,7,20.371,0,20.371,696710.288146973,4902.45128803437,5fe29e5d-93a2-465f-845b-86b6d85cd866,294,134904,2,Winnetka NC,3,Winnetka NC,3,134904,2019,4.413,0,4.413,10.993194,0.0,10.993194,No,11191406.4990234,15680.8366316524
299,134905,2,3,3,11.995,0,11.995,3789336.21484375,8133.953244510559,296,104500,2,3,7,4.237,0,4.237,531849.580505371,3447.2924397661895,8bc51713-a4b3-4df5-92b5-2647f3fb532e,295,134905,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,134905,2019,22.519000000000002,0,22.519000000000002,22.548686,0.0,22.548686,No,27841538.1367188,22068.0731971873
300,135102,2,3,12,0.0,0,0.0,2460502.28125,7031.44310994665,297,104610,2,3,7,8.068,0,8.068,592924.625,3538.36470241791,3f67ca95-b534-4e17-91dd-26ae88a68a15,296,135102,2,West Hills NC,12,West Hills NC,3,135102,2019,31.371,0,31.371,48.383227000000005,0.0,48.383227000000005,No,18076521.3183594,19038.5701739977
301,135111,2,3,3,6.285,0,6.285,1531780.0078125,4999.06187806456,298,104620,2,3,7,9.474,0,9.474,531965.54083252,3447.2182723114097,882d8330-3a64-42d4-9bb7-83fdbd33070f,297,135111,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,135111,2019,0.0,0,0.0,0.0,0.0,0.0,No,11251621.2509766,13541.9708836949
302,135113,2,3,3,2.095,0,2.095,942782.0859375,4819.15139037653,299,104703,2,3,7,50.276,0,50.276,1154112.74267578,4573.49009370973,ee6f48b1-bd61-4c23-8e1b-a5e0bd9c75cd,298,135113,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,135113,2019,0.0,0,0.0,0.0,0.0,0.0,No,6927412.42285156,13080.4827284146
303,135114,2,3,3,12.4,0,12.4,1860582.421875,6712.35981927288,300,104704,2,3,7,7.121,12,19.121,1667642.50463867,5160.45094346354,fe00c8ac-860e-40f8-91ff-aef9ea1f9eaf,299,135114,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,135114,2019,5.27,0,5.27,10.748284,0.0,10.748284,No,13669575.0751953,18199.6213056639
304,135201,2,3,12,21.51,0,21.51,2244218.08984375,6867.44455635698,301,104810,2,3,7,14.029000000000002,0,14.029000000000002,1125344.61749268,4344.52460813774,b2ce19c7-6f0c-4f3a-8588-b863516946fe,300,135201,2,West Hills NC,12,West Hills NC,3,135201,2019,13.015,0,13.015,22.007339,0.0,22.007339,No,16486481.9472656,18595.0244797226
305,135202,2,3,12,4.095,0,4.095,2582413.8515625,6577.71273180622,302,104822,2,3,7,7.324,0,7.324,609600.820373535,4216.01570581853,49785ad8-e98b-41d8-bfb1-70f5b624fd0e,301,135202,2,West Hills NC,12,West Hills NC,3,135202,2019,3.425,0,3.425,5.033002,0.0,5.033002,No,18972044.446289103,17817.590708633
306,135203,2,3,12,3.798,0,3.798,6594909.21875,12333.4038931551,303,106010,2,5,7,7.254,0,7.254,2541918.83093262,7268.86639419489,0b5aba45-1b74-4108-bcc9-f2ee5b76da42,302,135203,2,West Hills NC,12,West Hills NC,3,135203,2019,4.9639999999999995,0,4.9639999999999995,2.856583,0.0,2.856583,Yes,48454821.3408203,33761.906817479
307,137000,2,3,3,0.0,0,0.0,2371389.65625,9497.90063377122,304,106020,2,3,7,0.0,0,0.0,2013800.11077881,6851.33324645509,c36e661a-5579-4e26-bde2-3dbf1c1024bc,303,137000,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137000,2019,0.0,0,0.0,0.0,0.0,0.0,No,17465004.761718802,26531.8616931937
308,137103,2,3,3,4.5169999999999995,0,4.5169999999999995,1112879.84765625,4346.08448646493,305,106111,2,3,7,6.763,0,6.763,3819809.93505859,10396.305668729201,b05b140a-9e90-45b3-8ba1-422dad30ec92,304,137103,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137103,2019,5.718999999999999,0,5.718999999999999,19.494673000000002,0.0,19.494673000000002,No,8178542.73339844,11778.1134498099
309,137104,2,3,3,3.095,0,3.095,3758387.3125,8627.91298882558,306,106112,2,3,7,61.971000000000004,0,61.971000000000004,3238981.22515869,14661.192314646101,0b7e451e-622c-42cc-8cb4-ad8bf2f5476b,305,137104,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137104,2019,0.0,0,0.0,0.0,0.0,0.0,No,27620691.2490234,23407.036034494904
310,137201,2,3,3,1.0,0,1.0,2924160.953125,7071.58802787053,307,106114,2,3,7,17.918,0,17.918,958021.764648438,5429.93104807492,57f14ecb-392b-41e9-bca2-2c5c3f2586e1,306,137201,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137201,2019,24.741999999999997,0,24.741999999999997,32.096983,0.0,32.096983,No,21489869.9111328,19172.5224200396
311,137301,2,3,3,1.0,0,1.0,2357668.8125,7469.358348409541,308,106405,2,3,7,4.507,0,4.507,1170650.53607178,4420.37738871035,fc440298-9116-462b-a3ad-c6ac3465f928,307,137301,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137301,2019,0.0,0,0.0,0.0,0.0,0.0,No,17325427.4199219,20268.285399795
312,137302,2,3,3,6.285,0,6.285,3583973.19140625,9244.701337376959,309,106406,2,3,7,123.853,0,123.853,2066642.23699951,6496.55996083383,b74cecb6-85a7-4fe3-86e0-8d5d8c5a04bc,308,137302,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137302,2019,1.694,0,1.694,1.793173,0.0,1.793173,No,26334644.0214844,25070.3627872793
313,137401,2,3,3,2.591,0,2.591,3475954.62890625,9805.245715644929,310,106407,2,3,7,20.855999999999998,0,20.855999999999998,232464.743713379,1938.7518525708301,a21ec96d-7506-42e7-a7c5-2460ff6143e0,309,137401,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137401,2019,10.819,0,10.819,11.80316,0.0,11.80316,No,25552496.7919922,26572.920124021202
314,137402,2,3,3,7.19,0,7.19,4513540.609375,11474.1054724611,311,106510,2,3,7,56.498000000000005,0,56.498000000000005,5762188.43518066,11312.2228438141,a4c83c42-348e-4a77-8d49-383a40dbf968,310,137402,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137402,2019,1.5230000000000001,0,1.5230000000000001,1.27947,0.0,1.27947,No,33149653.7792969,31088.3360076148
315,137501,2,3,3,5.021,0,5.021,3679447.87890625,8932.92291220747,312,106520,2,3,7,14.435,0,14.435,2209815.65466309,6033.50467964566,5b506da3-950e-4e60-aa24-7f21d8586669,311,137501,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137501,2019,10.57,0,10.57,10.895254,0.0,10.895254,No,27046283.7783203,24231.0381737085
316,137502,2,3,3,10.811,0,10.811,3060663.8359375,7101.783279325259,313,106603,2,5,12,0.0,0,0.0,15300619.6248779,18259.0843613109,e8c8e457-b24f-4841-9165-9b6185276c92,312,137502,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137502,2019,7.085,0,7.085,8.779176,0.0,8.779176,No,22498496.2832031,19258.4284132245
317,137504,2,3,3,0.0,0,0.0,5617052.1484375,12131.479817013402,314,106604,2,3,7,29.668000000000003,0,29.668000000000003,2615197.12054443,7966.060008899871,99f4cca2-32d7-4e75-9908-7493583ca5a9,313,137504,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137504,2019,0.0,0,0.0,0.0,0.0,0.0,No,41309615.3359375,32877.6278850395
318,138000,2,3,3,2.095,0,2.095,6546371.65234375,11522.6137055596,315,106642,2,5,12,7.763,0,7.763,1568476.96447754,6047.532307982629,37348092-5598-436d-a766-aff0b9bad110,314,138000,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,138000,2019,2.0,0,2.0,1.1582649999999999,0.0,1.1582649999999999,No,48147400.2324219,31252.3206005883
319,139001,2,3,5,0.0,0,0.0,1815848.30078125,6538.70339700615,316,106643,2,5,12,0.0,0,0.0,4352238.97442627,9695.6856687532,7800e914-1428-4147-b263-bdebbc7653a8,315,139001,2,Encino NC,5,Encino NC,3,139001,2019,3.1189999999999998,0,3.1189999999999998,6.516125,0.0,6.516125,No,13344365.8681641,17735.3034042678
320,139200,2,3,5,0.0,0,0.0,1687319.12109375,5170.052300436961,317,106645,2,5,12,0.0,0,0.0,2524805.14556885,9016.95006021443,3337a882-4feb-4fc4-beac-24a7003e6fd3,316,139200,2,Encino NC,5,Encino NC,3,139200,2019,0.0,0,0.0,0.0,0.0,0.0,No,12399649.4296875,14016.7430269173
321,139301,2,3,3,16.156,0,16.156,4197411.77734375,9918.89206604453,318,106646,2,5,12,0.0,0,0.0,1492587.95837402,7017.44986790894,5e250a05-5740-407f-8f2e-5edcc62c902f,317,139301,2,Tarzana NC,3,Tarzana NC,3,139301,2019,4.315,0,4.315,3.900146,0.0,3.900146,No,30843322.5390625,26907.916529853
322,139302,2,3,3,4.021,0,4.021,495500.84765625,2938.53691280306,319,106649,2,3,7,3.8310000000000004,0,3.8310000000000004,1097887.7119751,6113.114882478941,d108afa5-473f-4efa-8a94-8760dab7657f,318,139302,2,Tarzana NC,3,Tarzana NC,3,139302,2019,10.448,0,10.448,79.993574,0.0,79.993574,No,3641242.86523438,7960.273585747809
323,139303,2,3,3,1.0,0,1.0,608650.515625,3337.13994206669,320,107010,2,3,7,5.449,0,5.449,681084.002380371,3940.7914078206,58f790e7-a409-48fe-b320-48efbb203137,319,139303,2,Tarzana NC,3,Tarzana NC,3,139303,2019,1.694,0,1.694,10.558617,0.0,10.558617,No,4472463.51464844,9039.82788213507
324,139401,2,3,3,13.797,0,13.797,1328630.453125,4694.12697060017,321,108101,2,5,12,0.0,0,0.0,1149993.52160645,4343.63185095276,506fc68b-8f21-4d80-bb89-d1b89fa2ce51,320,139401,2,Tarzana NC,3,Tarzana NC,3,139401,2019,9.696,0,9.696,27.681058,0.0,27.681058,No,9765078.25390625,12733.657808810902
325,139402,2,3,3,17.926,0,17.926,3578781.1640625,10539.6098544136,322,108102,2,5,12,0.0,0,0.0,2190819.53857422,5596.10962465183,db7b219e-79f4-4837-b7fe-55d757227e31,321,139402,2,Tarzana NC,3,Tarzana NC,3,139402,2019,0.0,0,0.0,0.0,0.0,0.0,No,26304498.425781302,28597.9574148944
326,139502,2,3,5,2.926,0,2.926,1533837.75390625,6256.07856137391,323,108103,2,5,12,1.618,0,1.618,2502946.42669678,10820.9913196648,1c0cf48f-141a-4b5e-87ab-39b34cba1f16,322,139502,2,Encino NC,5,Encino NC,3,139502,2019,3.1189999999999998,0,3.1189999999999998,7.7118649999999995,0.0,7.7118649999999995,No,11275128.1601563,16959.4108016552
327,139503,2,3,5,0.0,0,0.0,515061.33984375,2991.8172789114897,324,108104,2,5,12,1.831,0,1.831,838068.4066162109,4456.631793862221,1da8bac4-90b0-4f44-9d26-1ddedf455fae,323,139503,2,Encino NC,5,Encino NC,3,139503,2019,0.0,0,0.0,0.0,0.0,0.0,No,3785818.22558594,8106.44501631677
328,139504,2,3,5,1.0,0,1.0,423296.734375,2991.88690094169,325,108201,2,5,12,5.28,0,5.28,2817651.56719971,9081.848276315959,ba1ebca9-c393-4702-8ce8-38f417a32f00,324,139504,2,Encino NC,5,Encino NC,3,139504,2019,11.264000000000001,0,11.264000000000001,100.928578,0.0,100.928578,No,3110896.43457031,8101.67972045284
329,139600,2,3,5,6.946000000000001,0,6.946000000000001,3627668.515625,7658.02340217871,326,109100,2,3,7,47.788000000000004,0,47.788000000000004,2723874.77655029,7999.117836817009,19cbb93e-84f6-4eb0-98af-14e612f42e61,325,139600,2,Encino NC,5,Encino NC,3,139600,2019,11.488,0,11.488,12.010269000000001,0.0,12.010269000000001,No,26666137.730468802,20760.6425948566
330,139701,2,3,5,9.021,0,9.021,4976662.0,12155.5305220663,327,109200,2,3,12,0.0,0,0.0,1194580.97460938,4548.663067532229,9b4a3bcb-bd49-4520-b76b-b6406ac5eac1,326,139701,2,Encino NC,5,Encino NC,3,139701,2019,5.119,0,5.119,3.900439,0.0,3.900439,No,36587856.4189453,32947.6230056008
331,139702,2,3,5,0.0,0,0.0,13751475.488281302,24211.3053772812,328,109300,2,3,12,5.077,0,5.077,1217228.90118408,5299.619916275829,d0969f69-fbec-403d-ba8e-28405779c138,327,139702,2,Encino NC,5,Encino NC,3,139702,2019,23.425,0,23.425,6.456928,0.0,6.456928,No,101138880.595703,65654.9418678861
332,139703,2,3,3,3.181,0,3.181,6921130.84765625,15267.21303417,329,109400,2,3,7,9.155,0,9.155,1274963.47125244,5325.219927178679,b45ec847-e4a3-42ff-9bd3-3b9ba8878f8f,328,139703,2,Encino NC,3,Encino NC,3,139703,2019,2.89,0,2.89,1.582907,0.0,1.582907,No,50899322.2080078,41378.218310217206
333,139801,2,3,3,0.0,0,0.0,5366146.1015625,10214.529256996999,330,109500,2,3,7,6.715,0,6.715,1199496.80761719,6250.50135372041,35ff9e4b-d63b-4101-a266-f93a96bdc3c9,329,139801,2,Tarzana NC,3,Tarzana NC,3,139801,2019,0.0,0,0.0,0.0,0.0,0.0,No,39455344.9765625,27689.8110269329
334,139802,2,3,3,0.0,0,0.0,8894183.08984375,17299.1403948522,331,109603,2,3,7,11.783,0,11.783,1000470.31396484,4095.11046619383,82ff12e4-d8b6-438a-a9c7-4cb8abe8a89d,330,139802,2,Tarzana NC,3,Tarzana NC,3,139802,2019,0.0,0,0.0,0.0,0.0,0.0,No,65412413.7636719,46887.4334365184
335,141101,2,3,4,0.0,0,0.0,1111233.04296875,4326.5792049251895,332,109604,2,3,7,12.068,0,12.068,1177114.78656006,4378.506235888879,5a16722f-7d2e-4961-99a5-3cd76302a0e1,331,141101,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141101,2019,0.0,0,0.0,0.0,0.0,0.0,No,8170788.71679688,11728.7817962421
336,141102,2,3,4,1.0,0,1.0,1140100.7734375,5653.880844574511,333,109700,2,3,12,9.966000000000001,0,9.966000000000001,1607983.16699219,5464.598822637589,254637c0-55ea-4035-abe1-b2ea40c648e1,332,141102,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141102,2019,2.0,0,2.0,6.650706,0.0,6.650706,No,8383304.01757813,15328.6199254251
337,141201,2,3,4,15.892000000000001,0,15.892000000000001,1026239.31640625,4466.1505368709495,334,109800,2,3,12,0.0,0,0.0,1399717.34820557,5055.8915665860495,dcd9f25b-fb52-4b16-b648-bf23fad1e04a,333,141201,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141201,2019,33.714,0,33.714,124.560599,0.0,124.560599,No,7545504.52246094,12115.016840672
338,141202,2,3,4,1.0,0,1.0,1024825.6796875,4665.7481722025705,335,111201,2,5,12,8.899,0,8.899,1914474.0213623,7672.80860118422,eb956c6b-2352-40b9-adbf-b320616f874d,334,141202,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141202,2019,2.0,0,2.0,7.3984570000000005,0.0,7.3984570000000005,No,7536647.21777344,12658.1363716385
339,141302,2,3,4,6.829,0,6.829,1859883.79296875,6267.92749669302,336,111202,2,5,12,8.121,0,8.121,1867576.42443848,6326.656491322879,8b41d063-e17b-4ea3-a33b-3fb570c04493,335,141302,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141302,2019,4.851,0,4.851,9.889496000000001,0.0,9.889496000000001,No,13674735.2783203,16990.6542391857
340,141303,2,3,4,3.095,0,3.095,383407.12109375,2605.06015079155,337,111204,2,5,12,1.618,0,1.618,3345342.49212646,7815.0348584965295,724a886f-e0c1-402b-b862-42b2b8f30eae,336,141303,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141303,2019,3.0469999999999997,0,3.0469999999999997,30.133814,0.0,30.133814,No,2818666.28320313,7058.93743584183
341,141304,2,3,4,4.0,0,4.0,1041339.9453125,5223.84646248502,338,111206,2,5,12,2.0,0,2.0,2614749.15631104,7312.408993554821,075db4b7-b524-4943-b2b9-40d88853139a,337,141304,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141304,2019,7.718999999999999,0,7.718999999999999,28.10408,0.0,28.10408,No,7657153.0234375,14157.9119077684
342,141400,2,3,5,11.627,0,11.627,2934003.0703125,7168.25406361188,339,111301,2,5,12,14.522,0,14.522,2003344.74902344,6522.85235815192,e04c2f3f-8e7c-45c7-b0e6-848a97cf4dea,338,141400,2,Encino NC,5,Encino NC,3,141400,2019,8.388,0,8.388,10.840906,0.0,10.840906,No,21570676.258789103,19429.915487937
343,141500,2,3,5,0.0,0,0.0,4882296.63671875,11699.2355754578,340,111400,2,5,12,3.449,0,3.449,1815878.06744385,5530.07082168126,8fc06e23-8a5b-4f2c-bf7c-24df3106e657,339,141500,2,Encino NC,5,Encino NC,3,141500,2019,1.0,0,1.0,0.776369,0.0,0.776369,No,35908626.2822266,31707.624679033797
344,141600,2,3,4,0.0,0,0.0,5635215.63671875,13710.7665127514,341,113101,2,5,12,4.662,0,4.662,2285081.95617676,6461.95622030219,93bf77e3-b973-47a1-8f21-c42920d18dcd,340,141600,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141600,2019,0.0,0,0.0,0.0,0.0,0.0,No,41447785.1132813,37186.3946783074
345,141700,2,3,4,0.0,0,0.0,4746744.4296875,11834.7750123068,342,113102,2,5,12,6.353,0,6.353,3661020.91485596,7571.2148084515,aa341771-bb00-4165-8a14-d7b96a3781b2,341,141700,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141700,2019,0.0,0,0.0,0.0,0.0,0.0,No,34913888.1865234,32096.5349899252
346,143100,2,3,4,14.42,0,14.42,2597697.11328125,6917.79629760948,343,113211,2,5,12,9.155,0,9.155,7268786.48724365,11478.3413812179,7547fd03-0d0b-494b-8e23-3ad182f4ac84,342,143100,2,Greater Toluca Lake NC,4,Greater Toluca Lake NC,3,143100,2019,7.7410000000000005,0,7.7410000000000005,11.297412,0.0,11.297412,No,19334383.6386719,18874.140093417802
347,143200,2,3,2,10.187000000000001,0,10.187000000000001,1400949.47265625,5182.11925465208,344,113213,2,5,12,12.392000000000001,0,12.392000000000001,1299740.28948975,5136.75628213097,44ca8203-cffa-4416-b3e3-69c6e444973e,343,143200,2,Studio City NC,2,Studio City NC,3,143200,2019,26.807,0,26.807,72.54555500000001,0.0,72.54555500000001,No,10301822.0224609,14059.7882084232
348,143300,2,3,2,10.885,0,10.885,2422484.703125,7335.993207297321,345,113231,2,5,12,0.0,0,0.0,4163273.47174072,12818.758675478999,17569aba-515c-4cbd-ba5b-9ac9316e9609,344,143300,2,Studio City NC,2,Studio City NC,3,143300,2019,15.904000000000002,0,15.904000000000002,24.892375,0.0,24.892375,No,17812020.371093802,19899.5255632597
349,143400,2,3,2,7.777,0,7.777,2572555.41015625,7745.1148043803005,346,113232,2,5,12,0.0,0,0.0,2062040.46380615,7157.5385848695805,7586c40c-8f8a-497f-98d8-4e1c199a83c0,345,143400,2,Studio City NC,2,Studio City NC,3,143400,2019,9.311,0,9.311,13.72335,0.0,13.72335,No,18914450.2792969,21026.2011014108
350,143500,2,3,2,1.0,0,1.0,1812325.08984375,6962.844733192629,347,113234,2,3,3,18.439,0,18.439,1021177.25128174,5111.017370637071,952d4148-2d18-4ba2-b52a-400e5fc5d244,346,143500,2,Studio City NC,2,Studio City NC,3,143500,2019,6.57,0,6.57,13.743476000000001,0.0,13.743476000000001,No,13327193.3095703,18907.7229520349
351,143602,2,3,2,5.808,0,5.808,1783840.0703125,6166.900542890639,348,113235,2,5,3,0.0,0,0.0,1444044.90246582,8670.362561574251,6e1b8fbe-6acf-4d37-ad71-d97f0f66e2bc,347,143602,2,Studio City NC,2,Studio City NC,3,143602,2019,7.107,0,7.107,15.10326,0.0,15.10326,No,13118178.744140599,16730.5727781753
352,143603,2,3,2,7.702000000000001,0,7.702000000000001,769062.73046875,4970.54002467163,349,113237,2,5,12,21.682,0,21.682,4738623.06689453,11007.4433809083,2e4f53b3-c4f7-4112-a144-0f6fade8da37,348,143603,2,Studio City NC,2,Studio City NC,3,143603,2019,8.085,0,8.085,39.852123,0.0,39.852123,No,7315285.76074219,15172.286359432299
353,143604,2,3,2,22.706,0,22.706,820550.38671875,5075.60940322141,350,113303,2,5,12,78.663,15,93.663,4092412.18121338,9415.23872530864,3a8f3e88-40fb-4e0e-9efc-0b3db5de846e,349,143604,2,Studio City NC,2,Studio City NC,3,143604,2019,19.689,0,19.689,90.953767,0.0,90.953767,No,4439671.55078125,8750.031968170691
354,143700,2,3,4,27.621,0,27.621,4958896.828125,12995.4658191726,351,113322,2,5,12,1.831,0,1.831,1782193.89483643,6126.732490783161,4a17884e-1ed8-4a43-8af1-67dbdecd54c5,350,143700,2,Hollywood Hills West NC,4,Hollywood Hills West NC,3,143700,2019,8.0,0,8.0,6.113356,0.0,6.113356,No,35357968.4941406,37388.1185544735
355,143800,2,3,2,0.0,0,0.0,3816367.60546875,13365.858043036298,352,113401,2,3,12,19.097,0,19.097,2455696.5133667,6315.476659118261,394aa786-5944-4e91-8ae9-843c1cc4d189,351,143800,2,Studio City NC,2,Studio City NC,3,143800,2019,13.525,0,13.525,13.431614000000001,0.0,13.431614000000001,No,28072426.0390625,36262.0582336597
356,143901,2,3,2,7.6160000000000005,0,7.6160000000000005,7746829.1796875,15511.9932393271,353,113421,2,3,3,40.879,0,40.879,2221779.82617188,6595.895370629829,ebea5318-01d8-47b4-aff1-eb1c75ad9af9,352,143901,2,Studio City NC,2,Studio City NC,3,143901,2019,22.094,0,22.094,10.808364,0.0,10.808364,No,56987075.0507813,42068.9634404444
357,143902,2,3,4,4.406000000000001,0,4.406000000000001,3697801.0703125,12625.5007560851,354,113422,2,3,3,7.9079999999999995,0,7.9079999999999995,1532985.97845459,5542.63800360125,e298cbe4-8d6c-4f94-8159-616cecd4661a,353,143902,2,Studio City NC,4,Studio City NC,3,143902,2019,7.0,0,7.0,7.174807,0.0,7.174807,No,27199354.5839844,34225.2832055148
358,181000,4,1,14,39.376999999999995,0,39.376999999999995,6055567.83203125,13931.6385749251,355,115103,2,5,12,0.0,0,0.0,1524108.80566406,6798.165553532211,eb55dd75-c556-47b4-a4aa-c3af800b17f7,354,181000,4,Eagle Rock NC,14,Eagle Rock NC,1,181000,2019,34.051,10,44.051,21.31588,6.2599860000000005,27.575865999999998,No,44553232.65625,37802.8871236113
359,181300,4,1,14,24.078000000000003,0,24.078000000000003,2105572.796875,7928.84616752001,356,115104,2,3,12,0.0,0,0.0,1024886.30566406,6188.33475478719,9872278f-1879-46d1-811f-8793d2777ba3,355,181300,4,Eagle Rock NC,14,Eagle Rock NC,1,181300,2019,21.319000000000003,0,21.319000000000003,38.374544,0.0,38.374544,No,15511601.6621094,21398.801870863997
